# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
488edc2e2f56fae8bd8d6c87ccc38992	0	0	487	361	45	0	0	0	529	389	1162	0	401	503	310	46	226	0	107	198	1123	185	394	0	0	0	25	205	259	0	0	246	16	183	132	0	77	0	0	8	8	12	0	8	4
30f3b6a30cb9c9fd7f3d6e65a6efba7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3309	2385	0	0	0	15	0	0
8e858b298b55249b68953776c402817e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1108	69	55	0	0	0	8	0	0	0	0	0	33	7	0	0	0	0	0	122	5277	0	460	0	0	0	0	0	0	0	0
962c1f53359cb5e2aa43b12403ad01b1	155	0	48	208	0	193	173	0	106	187	0	108	286	281	157	0	103	0	261	0	582	397	0	169	70	0	633	72	207	117	86	950	0	0	334	0	36	0	0	0	0	14	0	0	0
3c79e4feba1b4bd5d5d437bd2016a8c8	0	0	48	0	2718	0	0	0	52	0	71	0	0	529	668	0	0	36	0	0	168	0	75	0	0	0	202	0	11	0	0	0	1591	0	52	0	0	0	0	0	0	0	0	0	2
cdba1fd96d6632a2b42a37e92a030193	422	0	51	0	72	1	555	0	178	0	49	2	561	20	38	0	51	308	1059	0	247	0	81	26	150	0	602	0	276	25	0	10	988	0	128	42	0	0	0	14	14	3	4	2	0
4c9ad83db9558d996798266a6016cf0a	71	65	22	288	28	201	139	291	33	221	19	86	217	161	0	98	17	60	347	956	21	104	48	132	178	41	60	38	97	40	58	922	0	141	22	15	96	0	0	24	24	0	3	0	13
a04e15b67208e78f199a2bcf2f4b1fcb	2359	0	0	0	0	0	1984	0	0	0	123	0	56	0	0	0	5	0	104	0	0	0	153	0	302	0	0	0	4	0	149	0	0	0	0	0	0	0	0	0	0	0	1	0	1
491a54d4f77ddd7f87a2ddce85b80682	0	2168	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	697	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0
f2cdf91efddd3e3233fd660113898385	0	0	3	0	0	0	0	0	0	0	0	0	0	3845	2	0	299	0	0	49	0	0	0	0	0	3	0	0	0	0	0	0	375	0	10	0	0	0	0	0	0	0	0	0	0
3da6acec1bba1ff62c8f95e55658fd3c	0	74	141	107	866	0	0	254	136	75	190	7	278	244	48	10	130	132	20	247	240	39	222	16	49	77	155	48	92	5	169	205	245	38	526	0	0	0	0	26	26	3	8	7	6
72576539148489f3198d1a5f56907f62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	43	0	0	0	0	4	5149	0	0	0	0	0	28	0	0	672	0	0	0	0	15	0	4	0
0cb68d5f72f399734aed2013c489fca2	0	0	129	449	0	0	0	0	29	784	0	0	148	14	48	0	0	517	0	93	347	552	0	0	0	0	81	38	0	0	0	782	0	591	0	0	974	0	0	0	0	0	4	0	0
7338110edf4241c1f21d68cb6a370c9b	0	35	2	2	5	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	95	8	2	0	0	0	5	0	0	0	433	433	226	304	40	708
7ec514a35bd9254ffd36501007ecb7f8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	30	0	0	4	65
b4c09f05dbdc12157d478ace70d8d39b	0	0	0	1819	0	0	0	0	0	1172	0	0	0	0	0	57	39	0	0	0	0	1281	0	0	0	0	0	573	36	0	0	0	0	142	402	0	262	0	0	0	0	0	0	9	0
b1a3f9576542070017eb46b7b3bf1b87	56	179	529	0	69	30	60	263	264	0	115	29	50	12	0	0	13	22	76	104	379	0	15	15	95	10	138	0	17	280	828	42	145	0	21	10	0	0	0	5	5	0	0	5	6
a8a4ee9733b4145e09ac0f823f1f0efe	216	0	814	0	0	210	105	0	571	0	0	162	31	0	113	0	0	0	115	0	826	0	0	104	113	0	232	0	0	191	211	0	78	0	0	161	0	0	0	0	0	0	0	0	0
